"","SS_NoSpace","SiteSeriesLongName","SpecialCode","Special"
"1","BGxh1/101","Big sagebrush – Bluebunch wheatgrass",NA,NA
"2","BGxh1/101$2.1","Bluebunch wheatgrass – Sagewort – Sandberg's bluegrass",NA,NA
"3","BGxh1/101$2.2","Needle-and-thread grass – Cheatgrass",NA,NA
"4","BGxh1/101$3.1","Big sagebrush – Needle-and-thread grass",NA,NA
"5","BGxh1/102","Py – Antelope-brush – Three-awn",NA,NA
"6","BGxh1/103","Py(Fd) – Bluebunch wheatgrass – Selaginella",NA,NA
"7","BGxh1/110","Py – Sumac – Mock-orange",NA,NA
"8","BGxh1/Ff01","Water birch – Red-osier dogwood – Rose","Ff","fringe fluvial "
"9","BGxh1/Ff01a","Water birch – Red-osier dogwood – Rose; Fringe phase","Ff","fringe fluvial "
"10","BGxh1/Ff01b","Water birch – Red-osier dogwood – Rose; Grassland draw phase","Ff","fringe fluvial "
"11","BGxh1/Ff04","Aspen – Snowberry – Roses","Ff","fringe fluvial "
"12","BGxh1/Ff05","Aspen – Dogwood – Nootka rose","Ff","fringe fluvial "
"13","BGxh1/Fl07","Water birch – Rose","Fl","low fluvial bench"
"14","BGxh1/Fm01","Cottonwood – Snowberry – Rose","Fm","mid fluvial bench"
"15","BGxh1/Fm05","Cottonwood – Douglas-fir – Douglas' maple – Snowberry","Fm","mid fluvial bench"
"16","BGxh1/Fm06","Cottonwood – Poison ivy – Rose","Fm","mid fluvial bench"
"17","BGxh1/Ga01","Saltgrass","Ga","alkaline meadow"
"18","BGxh1/Ga01.1","Saltgrass","Ga","alkaline meadow"
"19","BGxh1/Ga05","Giant wildrye","Ga","alkaline meadow"
"20","BGxh1/Gb05","Sumac – Bluebunch wheatgrass","Gb","brushland"
"21","BGxh1/Gg11","Idaho fescue – Bluebunch wheatgrass – Junegrass","Gg","grassland "
"22","BGxh1/Gg11$2.1","Bluebunch wheatgrass – Junegrass – Sandberg's bluegrass","Gg","grassland "
"23","BGxh1/Gg11$2.4","Needle-and-thread grass – Cheatgrass","Gg","grassland "
"24","BGxh1/Gg13","Idaho fescue – Silky lupine","Gg","grassland "
"25","BGxh1/Gg13$2.2","Bluebunch wheatgrass – Junegrass – Sandberg's bluegrass","Gg","grassland "
"26","BGxh1/Gg13$2.4","Kentucky bluegrass – Yarrow","Gg","grassland "
"27","BGxh1/Gg13$3.1","Big sagebrush – Kentucky bluegrass","Gg","grassland "
"28","BGxh1/Gg26","Red three-awn – Needle-and-thread grass","Gg","grassland "
"29","BGxh1/Gs01","Big sagebrush – Bluebunch wheatgrass","Gs","shrub-steppe"
"30","BGxh1/Gs01$2.1","Bluebunch wheatgrass – Sagewort – Sandberg's bluegrass","Gs","shrub-steppe"
"31","BGxh1/Gs01$2.2","Needle-and-thread grass – Cheatgrass","Gs","shrub-steppe"
"32","BGxh1/Gs01$3.1","Big sagebrush – Needle-and-thread grass","Gs","shrub-steppe"
"33","BGxh1/Gs10","Antelope-brush – Bluebunch wheatgrass","Gs","shrub-steppe"
"34","BGxh1/Gs10$2.1","Sand dropseed – Cheatgrass – Sandberg's bluegrass","Gs","shrub-steppe"
"35","BGxh1/Gs10$3.1","Antelope-brush – Cheatgrass – Needle-and-thread grass","Gs","shrub-steppe"
"36","BGxh1/Gs11","Antelope-brush – Bluebunch wheatgrass – Red three-awn","Gs","shrub-steppe"
"37","BGxh1/Gs11$2.1","Sand dropseed – Needle-and-thread grass","Gs","shrub-steppe"
"38","BGxh1/Ro01","Selaginella – Bluebunch wheatgrass – Screw moss","Ro","rocky outcrop"
"39","BGxh1/Ro01.1","Selaginella – Bluebunch wheatgrass – Screw moss","Ro","rocky outcrop"
"40","BGxh1/Ro01.2","Selaginella – Screw moss","Ro","rocky outcrop"
"41","BGxh1/Ro03","Antelope-brush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"42","BGxh1/Ro04","Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"43","BGxh1/Ro04.1","Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"44","BGxh1/Ro04.2","Rabbit-brush – Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"45","BGxh1/Rt05","Big sagebrush – Saskatoon – Bluebunch wheatgrass","Rt","talus"
"46","BGxh1/Rt06","Saskatoon – Mock-orange – Bluebunch wheatgrass","Rt","talus"
"47","BGxh1/Wm05","Cattail","Wm","wetland marsh"
"48","BGxh1/Wm06","Soft-stemmed bulrush","Wm","wetland marsh"
"49","BGxh1/Wm08","Three-square bulrush","Wm","wetland marsh"
"50","BGxh1/Wm11","Seacoast bulrush","Wm","wetland marsh"
"51","BGxh2/101","Big sagebrush – Bluebunch wheatgrass",NA,NA
"52","BGxh2/102","Py – Rabbit-brush – Bluebunch wheatgrass",NA,NA
"53","BGxh2/110","Fd(Py) – Snowberry – Oregon-grape",NA,NA
"54","BGxh2/Ff04","Aspen – Snowberry – Roses","Ff","fringe fluvial "
"55","BGxh2/Ff05","Aspen – Dogwood – Nootka rose","Ff","fringe fluvial "
"56","BGxh2/Fl05","Drummond's willow – Bluejoint","Fl","low fluvial bench"
"57","BGxh2/Fm01","Cottonwood – Snowberry – Rose","Fm","mid fluvial bench"
