"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1","BAFAun","BAFAun/00","X",NA,"X",NA,NA,FALSE
"2","BAFAunp","BAFAunp/00","X",NA,"X",NA,NA,FALSE
"3","BGdh_OR","BGdh_OR/110","Ju",1,"Ju",1,NA,FALSE
"4","BGdh_OR","BGdh_OR/110","Jw",3,"Jw",3,NA,FALSE
"5","BGdh_OR","BGdh_OR/110","Pn",3,"Pn",5,"WHM",FALSE
"6","BGdh_OR","BGdh_OR/111","Aa",1,"Aa",1,NA,FALSE
"7","BGdh_OR","BGdh_OR/111","Act",5,"Ac",5,NA,FALSE
"8","BGdh_OR","BGdh_OR/111","Pyi",5,"Py",5,NA,FALSE
"9","BGdh_OR","BGdh_OR/Gg1","X",NA,"X",NA,NA,FALSE
"10","BGdh_OR","BGdh_OR/Gg2","Ju",3,"Ju",3,NA,FALSE
"11","BGdh_OR","BGdh_OR/Gg2","Jw",3,"Jw",3,NA,FALSE
"12","BGdh_OR","BGdh_OR/Ro","X",NA,"X",NA,NA,FALSE
"13","BGdw_OR","BGdw_OR/110","Fdi",1,"Fd",1,NA,FALSE
"14","BGdw_OR","BGdw_OR/110","Pyi",1,"Py",1,NA,FALSE
"15","BGdw_OR","BGdw_OR/111","Act",2,"Ac",2,NA,FALSE
"16","BGdw_OR","BGdw_OR/Gg","X",NA,"X",NA,NA,FALSE
"17","BGdw_OR","BGdw_OR/Ro","X",NA,"X",NA,NA,FALSE
"18","BGdw_WA","BGdw_WA/110","Fdi",1,"Fd",1,NA,FALSE
"19","BGdw_WA","BGdw_WA/110","Pyi",1,"Py",1,NA,FALSE
"20","BGdw_WA","BGdw_WA/111","Act",2,"Ac",2,NA,FALSE
"21","BGdw_WA","BGdw_WA/Gg","X",NA,"X",NA,NA,FALSE
"22","BGdw_WA","BGdw_WA/Ro","X",NA,"X",NA,NA,FALSE
"23","BGmk_ID","BGmk_ID/110","At",1,"At",1,NA,FALSE
"24","BGmk_ID","BGmk_ID/110","Jr",3,"Jr",3,NA,FALSE
"25","BGmk_ID","BGmk_ID/110","Om",3,"Om",3,NA,FALSE
"26","BGmk_ID","BGmk_ID/111","Act",1,"Ac",1,NA,FALSE
"27","BGmk_ID","BGmk_ID/111","At",2,"At",2,NA,FALSE
"28","BGmk_ID","BGmk_ID/Gg","Jr",3,"Jr",3,NA,FALSE
"29","BGmk_ID","BGmk_ID/Gg","Pf",3,"Pf",3,NA,FALSE
"30","BGmk_ID","BGmk_ID/Ro","X",NA,"X",NA,NA,FALSE
"31","BGmk_MT","BGmk_MT/110","Fdi",1,"Fd",1,NA,FALSE
"32","BGmk_MT","BGmk_MT/110","Jr",3,"Jr",3,NA,FALSE
"33","BGmk_MT","BGmk_MT/111","Aa",2,"Aa",2,NA,FALSE
"34","BGmk_MT","BGmk_MT/111","Act",5,"Ac",5,NA,FALSE
"35","BGmk_MT","BGmk_MT/111","Fdi",2,"Fd",2,NA,FALSE
"36","BGmk_MT","BGmk_MT/Gg1","X",NA,"X",NA,NA,FALSE
"37","BGmk_MT","BGmk_MT/Gg2","Jr",3,"Jr",3,NA,FALSE
"38","BGmk_MT","BGmk_MT/Ro","X",NA,"X",NA,NA,FALSE
"39","BGmk_NV","BGmk_NV/110","At",1,"At",1,NA,FALSE
"40","BGmk_NV","BGmk_NV/110","Jw",3,"Jw",3,NA,FALSE
"41","BGmk_NV","BGmk_NV/110","Om",3,"Om",3,NA,FALSE
"42","BGmk_NV","BGmk_NV/111","Aa",3,"Aa",3,NA,FALSE
"43","BGmk_NV","BGmk_NV/111","Act",3,"Ac",3,NA,FALSE
"44","BGmk_NV","BGmk_NV/111","Af",2,"Af",2,NA,FALSE
"45","BGmk_NV","BGmk_NV/111","At",1,"At",1,NA,FALSE
"46","BGmk_NV","BGmk_NV/Gg1","X",NA,"X",NA,NA,FALSE
"47","BGmk_NV","BGmk_NV/Gg2","Om",3,"Om",3,NA,FALSE
"48","BGmk_NV","BGmk_NV/Ro","X",NA,"X",NA,NA,FALSE
"49","BGmm_MT","BGmm_MT/110","Fdi",1,"Fd",1,NA,FALSE
"50","BGmm_MT","BGmm_MT/110","Jr",3,"Jr",3,NA,FALSE
"51","BGmm_MT","BGmm_MT/111","Act",2,"Ac",2,NA,FALSE
"52","BGmm_MT","BGmm_MT/111","Fdi",5,"Fd",5,NA,FALSE
"53","BGmm_MT","BGmm_MT/Gg1","X",NA,"X",NA,NA,FALSE
"54","BGmm_MT","BGmm_MT/Gg2","Jr",3,"Jr",3,NA,FALSE
"55","BGmm_MT","BGmm_MT/Ro","X",NA,"X",NA,NA,FALSE
"56","BGmw_OR","BGmw_OR/110","Fdi",2,"Fd",2,NA,FALSE
"57","BGmw_OR","BGmw_OR/110","Pyi",1,"Py",1,NA,FALSE
"58","BGmw_OR","BGmw_OR/111","Act",2,"Ac",2,NA,FALSE
"59","BGmw_OR","BGmw_OR/Gg","X",NA,"X",NA,NA,FALSE
